Year,Month,TOTAL ASET,TOTAL LIABILITAS,TOTAL EKUITAS,LABA (RUGI) OPERASIONAL,LABA (RUGI) NON OPERASIONAL,LABA (RUGI) BERSIH PERIODE BERJALAN
2020,Mei,954.071.373,796.005.736,158.065.637,,,9.574.441
2020,Juni,957.694.444,795.809.041,161.885.403,,,12.061.605
2020,Juli,967.841.607,801.493.364,166.348.243,18.457.026,38.713,15.214.365
2020,Agustus,982.435.215,811.630.533,170.804.682,22.560.381,38.419,18.523.746
2020,Oktober,1.009.351.770,833.876.216,175.475.554,28.074.378,(126.208),22.827.927
2020,November,1.027.878.671,849.609.488,178.269.183,30.680.754,(370.366),24.738.503
2020,Desember,1.056.362.108,879.758.243,176.603.865,32.651.957,(389.714),
2021,Januari,1.053.811.272,874.917.295,178.893.977,3.579.264,17.707,2.917.967
2021,Februari,1.064.787.379,884.804.945,179.982.434,6.276.418,17.338,5.106.583
2021,April,1.077.818.479,904.526.166,173.292.313,10.989.950,58.053,9.007.752
2021,Mei,1.102.750.104,927.495.733,175.254.371,12.986.638,53.151,10.623.454
2021,Juli,1.120.424.381,937.968.363,182.456.018,20.767.595,(32.296),16.898.787
2021,Agustus,1.133.399.378,947.457.469,185.941.909,24.614.869,(21.974),20.023.565
2021,Oktober,1.171.663.418,977.976.716,193.686.702,33.166.861,(263.706),27.087.012
2021,November,1.191.949.259,995.201.965,196.747.294,36.915.757,(271.017),30.123.241
2022,Januari,1.214.793.207,1.017.077.080,197.716.127,4.381.948,6.691,3.558.703
2022,April,1.261.407.848,1.072.829.453,188.578.395,14.034.717,19.320,11.477.108
2022,Mei,1.257.067.226,1.065.513.955,191.553.271,17.598.862,29.936,14.386.174
2022,Juli,1.251.244.395,1.053.679.405,197.564.990,26.047.171,68.094,21.284.876
2022,Agustus,1.254.765.256,1.054.224.290,200.540.966,30.076.865,57.840,24.547.433
2022,November,1.282.598.920,1.073.886.510,208.712.410,44.856.905,(194.235),36.452.968
2023,Januari,1.283.325.106,1.066.531.166,216.793.940,5.766.495,6.306,4.704.672
2023,Februari,1.291.725.637,1.071.903.797,219.821.840,9.975.258,6.326,8.114.839
2023,April,1.299.222.939,1.092.803.090,206.419.849,18.900.523,21.052,15.421.146
2023,Mei,1.296.524.538,1.085.573.228,210.951.310,23.854.127,(41.180),19.376.212
2023,Juli,1.323.142.068,1.103.848.998,219.293.070,34.337.915,(33.355),27.942.349
2023,Agustus,1.328.199.062,1.105.564.070,222.634.992,39.001.037,(45.105),31.708.956
2023,Oktober,1.346.576.875,1.117.225.922,229.350.953,49.501.198,(260.289),40.228.368
2023,November,1.354.493.804,1.120.421.711,234.072.093,54.387.945,(291.687),44.152.723
2024,Februari,1.368.597.118,1.127.399.172,241.197.946,10.214.338,77,8.277.640
2024,April,1.374.754.240,1.153.548.068,221.206.172,21.085.322,(15.624),17.214.868
2024,Mei,1.364.424.856,1.138.386.239,226.038.617,26.531.026,(15.506),21.633.871
2024,Juli,1.379.197.093,1.143.276.905,235.920.188,38.620.706,(118.364),31.396.033
2024,Agustus,1.400.604.114,1.159.841.409,240.762.705,44.383.317,(157.101),35.990.685
2024,Oktober,1.396.684.240,1.145.652.406,251.031.834,56.860.337,(248.991),46.226.027
2024,November,1.415.407.416,1.166.218.740,249.188.676,62.379.650,(368.845),50.472.852
2025,Januari,1.430.855.803,1.172.807.411,258.048.392,5.826.481,(13.292),4.726.267
2025,Februari,1.427.410.405,1.164.912.397,262.498.008,11.094.028,(41.316),8.975.717
2025,April,1.456.437.422,1.213.453.222,242.984.200,24.459.293,(52.990),20.211.428
2025,Mei,1.467.183.209,1.219.341.255,247.841.954,30.559.840,(61.238),25.162.919
2025,Juli,1.466.750.654,1.208.995.963,257.754.691,42.631.508,(141.510),34.707.591
2025,Agustus,1.476.024.326,1.213.573.471,262.450.855,48.060.465,(195.421),39.058.614
2024,Januari,1.368.257.351,1.130.761.146,237.496.205,5.503.320,4.802,4.468.635
2016,Juni,612.971.304,512.526.766,100.444.538,,,
2016,April,592.088.054,495.037.693,97.050.361,,,
2016,Februari,592.077.681,501.934.871,90.142.810,,,
2022,Februari,1.221.534.692,1.021.099.951,200.434.741,7.737.372,15.985,6.288.953
2017,Januari,663.805.342,552.545.033,111.260.309,,,1.928.596
2019,Juni,853.642.798,700.334.729,153.308.069,,,12.331.978
2016,Maret,590.832.305,492.860.684,97.971.621,,,
2018,Maret,745.043.491,613.598.914,131.444.577,,,5.068.382
2018,Mei,765.387.700,635.401.116,129.986.584,,,8.687.038
2019,September,875.677.023,714.323.797,161.353.226,,,20.149.066
2015,Agustus,569.985.436,487.156.312,82.829.124,,,
2015,April,"546,361,968","467,310,168","79,051,800",,,
2015,Desember,582.540.176,495.770.501,86.769.675,,,
2016,Januari,583.816.752,495.221.056,88.595.696,,,
2015,Juli,564.430.586,483.156.637,81.273.949,,,
2015,Juni,"560,246,432","480,803,827","79,442,605",,,
2015,Maret,545.743.243,467.989.996,77.753.247,,,
2015,Mei,"549,832,933","471,681,031","78,151,902",,,
2015,November,574.353.020,487.015.856,87.337.164,,,
2015,Oktober,567.038.734,481.288.565,85.750.169,,,
2015,September,573.166.358,489.417.503,83.748.855,,,
